Date,Open,High,Low,Close,AdjClose,Volume,Predicted
2022-01-03,605.609985,609.98999,590.559998,597.369995,597.369995,3067500,0
2022-01-04,599.909973,600.409973,581.599976,591.150024,591.150024,4393100,0
2022-01-05,592.0,592.840027,566.880005,567.52002,567.52002,4148700,0
2022-01-06,554.340027,563.359985,542.01001,553.289978,553.289978,5711800,0
2022-01-07,549.460022,553.429993,538.219971,541.059998,541.059998,3382900,0
2022-01-10,538.48999,543.690002,526.320007,539.849976,539.849976,4486100,0
2022-01-11,536.98999,543.909973,530.070007,540.840027,540.840027,3077800,0
2022-01-12,544.27002,544.27002,532.02002,537.219971,537.219971,3787400,0
2022-01-13,537.059998,540.789978,518.26001,519.200012,519.200012,4475100,0
2022-01-14,517.599976,538.369995,511.880005,525.690002,525.690002,7861100,0
2022-01-18,520.080017,521.75,508.679993,510.799988,510.799988,4839100,0
2022-01-19,515.0,523.210022,510.51001,515.859985,515.859985,4353500,0
2022-01-20,517.75,526.640015,506.929993,508.25,508.25,12659000,0
2022-01-21,400.429993,409.149994,379.98999,397.5,397.5,58904300,0
2022-01-24,383.910004,387.26001,351.459991,387.149994,387.149994,32346000,0
2022-01-25,379.140015,387.709991,365.130005,366.420013,366.420013,15145800,0
2022-01-26,378.269989,382.660004,356.619995,359.700012,359.700012,12684000,0
2022-01-27,382.059998,394.799988,378.100006,386.700012,386.700012,24324700,0
2022-01-28,386.76001,387.0,372.079987,384.359985,384.359985,11966600,0
2022-01-31,401.970001,427.700012,398.200012,427.140015,427.140015,20047500,0
2022-02-01,432.959991,458.480011,425.540009,457.130005,457.130005,22568100,0
2022-02-02,448.25,451.980011,426.480011,429.480011,429.480011,14346000,0
2022-02-03,421.440002,429.26001,404.279999,405.600006,405.600006,9905200,0
2022-02-04,407.309998,412.769989,396.640015,410.170013,410.170013,7789800,0
2022-02-07,410.170013,412.350006,393.549988,402.100006,402.100006,8232900,0
2022-02-08,398.179993,406.609985,395.829987,403.529999,403.529999,6818500,0
2022-02-09,408.649994,412.980011,398.790009,412.890015,412.890015,7738200,0
2022-02-10,402.100006,408.0,396.359985,406.269989,406.269989,8452900,0
2022-02-11,405.329987,411.609985,387.649994,391.309998,391.309998,7558900,0
2022-02-14,387.589996,409.359985,386.890015,396.570007,396.570007,7202200,0
2022-02-15,403.790009,409.160004,401.01001,407.459991,407.459991,5392300,0
2022-02-16,401.529999,401.559998,390.380005,398.079987,398.079987,5277700,0
2022-02-17,394.23999,399.109985,385.700012,386.670013,386.670013,4669200,0
2022-02-18,392.529999,402.869995,389.049988,391.290009,391.290009,6801700,0
2022-02-22,388.950012,392.420013,373.019989,377.380005,377.380005,6697500,0
2022-02-23,382.720001,386.0,366.660004,367.459991,367.459991,4614300,0
2022-02-24,355.089996,390.730011,354.720001,390.029999,390.029999,7068700,0
2022-02-25,386.609985,391.290009,375.579987,390.799988,390.799988,4841600,0
2022-02-28,387.329987,397.75,382.130005,394.519989,394.519989,5035000,0
2022-03-01,391.600006,395.0,383.709991,386.23999,386.23999,3290400,0
2022-03-02,388.929993,389.220001,375.209991,380.029999,380.029999,5356800,0
2022-03-03,386.0,386.119995,364.649994,368.070007,368.070007,6076800,0
2022-03-04,368.0,374.820007,357.170013,361.730011,361.730011,5325500,0
2022-03-07,360.410004,362.0,350.200012,350.26001,350.26001,5708400,0
2022-03-08,349.799988,358.859985,340.670013,341.76001,341.76001,6428700,0
2022-03-09,357.690002,364.140015,350.51001,358.790009,358.790009,6520200,0
2022-03-10,356.200012,367.019989,353.299988,356.769989,356.769989,4807800,0
2022-03-11,361.190002,363.359985,340.0,340.320007,340.320007,4819900,0
2022-03-14,338.720001,341.320007,329.820007,331.01001,331.01001,5907800,0
2022-03-15,335.100006,345.359985,332.359985,343.75,343.75,5460600,0
2022-03-16,348.200012,359.98999,343.059998,357.529999,357.529999,6982500,0
2022-03-17,359.700012,373.309998,354.880005,371.399994,371.399994,5818300,0
2022-03-18,372.0,381.799988,368.470001,380.600006,380.600006,8324800,0
2022-03-21,378.019989,381.820007,368.940002,374.589996,374.589996,4866500,0
2022-03-22,371.140015,386.660004,366.76001,382.920013,382.920013,4242800,0
2022-03-23,379.769989,382.459991,374.48999,374.48999,374.48999,3729000,0
